origin_id,destination_id,distance,minfare,maxfare,price,demand,elasticity
1,2,6624,(f:500)(j:400)(p:250)(y:175),(f:1500)(j:1350)(p:1150)(y:1050),(f:950)(j:900)(p:850)(y:800),(f:50)(j:120)(p:400)(y:1000),
2,3,5309,(f:500)(j:400)(p:250)(y:175),(f:1500)(j:1350)(p:1150)(y:1050),(f:950)(j:900)(p:850)(y:800),(f:50)(j:120)(p:400)(y:1000),
3,4,8674,(f:500)(j:400)(p:250)(y:175),(f:1500)(j:1350)(p:1150)(y:1050),(f:950)(j:900)(p:850)(y:800),(f:50)(j:120)(p:400)(y:1000),
4,1,1344,(f:500)(j:400)(p:250)(y:175),(f:1500)(j:1350)(p:1150)(y:1050),(f:950)(j:900)(p:850)(y:800),(f:50)(j:120)(p:400)(y:1000),
4,5,8837,(y:265)(p:795)(j:1326)(f:2651),(y:2768)(p:6303)(j:9838)(f:18675),(y:200)(p:300)(j:500)(f:750),(y:900)(p:110)(j:3500)(f:5000),
4,2,8837,(y:265)(p:795)(j:1326)(f:2651),(y:2768)(p:6303)(j:9838)(f:18675),(y:200)(p:300)(j:500)(f:750),(y:900)(p:110)(j:3500)(f:5000),
2,5,8837,(y:265)(p:795)(j:1326)(f:2651),(y:2768)(p:6303)(j:9838)(f:18675),(y:200)(p:300)(j:500)(f:750),(y:900)(p:110)(j:3500)(f:5000),
2,3,8837,(y:265)(p:795)(j:1326)(f:2651),(y:2768)(p:6303)(j:9838)(f:18675),(y:200)(p:300)(j:500)(f:750),(y:900)(p:110)(j:3500)(f:5000),
3,5,8837,(y:265)(p:795)(j:1326)(f:2651),(y:2768)(p:6303)(j:9838)(f:18675),(y:200)(p:300)(j:500)(f:750),(y:900)(p:110)(j:3500)(f:5000),
4,2,8837,(y:265)(p:795)(j:1326)(f:2651),(y:2768)(p:6303)(j:9838)(f:18675),(y:200)(p:300)(j:500)(f:750),(y:900)(p:110)(j:3500)(f:5000),
5,4,8837,(y:265)(p:795)(j:1326)(f:2651),(y:2768)(p:6303)(j:9838)(f:18675),(y:200)(p:300)(j:500)(f:750),(y:900)(p:110)(j:3500)(f:5000),
6,2,8837,(y:265)(p:795)(j:1326)(f:2651),(y:2768)(p:6303)(j:9838)(f:18675),(y:200)(p:300)(j:500)(f:750),(y:900)(p:110)(j:3500)(f:5000),
7,4,8837,(y:265)(p:795)(j:1326)(f:2651),(y:2768)(p:6303)(j:9838)(f:18675),(y:200)(p:300)(j:500)(f:750),(y:900)(p:110)(j:3500)(f:5000),
4,6,8837,(y:265)(p:795)(j:1326)(f:2651),(y:2768)(p:6303)(j:9838)(f:18675),(y:200)(p:300)(j:500)(f:750),(y:900)(p:110)(j:3500)(f:5000),
10,9,8837,(y:265)(p:795)(j:1326)(f:2651),(y:2768)(p:6303)(j:9838)(f:18675),(y:200)(p:300)(j:500)(f:750),(y:900)(p:110)(j:3500)(f:5000),
8,2,8837,(y:265)(p:795)(j:1326)(f:2651),(y:2768)(p:6303)(j:9838)(f:18675),(y:200)(p:300)(j:500)(f:750),(y:900)(p:110)(j:3500)(f:5000),
8,11,8837,(y:265)(p:795)(j:1326)(f:2651),(y:2768)(p:6303)(j:9838)(f:18675),(f:835)(j:635)(p:434)(y:301)(total:334),(y:900)(p:110)(j:3500)(f:5000),
1,3,8982,(y:269)(p:808)(j:1347)(f:2695),(y:2797)(p:6390)(j:9983)(f:18966),(y:1980)(p:3913)(j:7630)(f:10173),(y:2777)(p:588)(j:357)(f:357),
1,5,2174,(y:65)(p:196)(j:326)(f:652),(y:1435)(p:2305)(j:3174)(f:5349),(y:567)(p:1053)(j:1896)(f:2528),(y:3621)(p:720)(j:403)(f:403),
